ticker,expiration,strike,type,openInterest
INTC,2025-03-14,12.5,call,22.0
INTC,2025-03-14,14.0,call,16.0
INTC,2025-03-14,15.0,call,23.0
INTC,2025-03-14,15.5,call,67.0
INTC,2025-03-14,16.0,call,17.0
INTC,2025-03-14,16.5,call,76.0
INTC,2025-03-14,17.0,call,269.0
INTC,2025-03-14,17.5,call,52.0
INTC,2025-03-14,18.0,call,644.0
INTC,2025-03-14,18.5,call,512.0
INTC,2025-03-14,19.0,call,1844.0
INTC,2025-03-14,19.5,call,2204.0
INTC,2025-03-14,20.0,call,5878.0
INTC,2025-03-14,20.5,call,8840.0
INTC,2025-03-14,21.0,call,16513.0
INTC,2025-03-14,21.5,call,9986.0
INTC,2025-03-14,22.0,call,27270.0
INTC,2025-03-14,22.5,call,6719.0
INTC,2025-03-14,23.0,call,8180.0
INTC,2025-03-14,23.5,call,2315.0
INTC,2025-03-14,24.0,call,8233.0
INTC,2025-03-14,24.5,call,6138.0
INTC,2025-03-14,25.0,call,8683.0
INTC,2025-03-14,25.5,call,3140.0
INTC,2025-03-14,26.0,call,5284.0
INTC,2025-03-14,26.5,call,1554.0
INTC,2025-03-14,27.0,call,4591.0
INTC,2025-03-14,27.5,call,859.0
INTC,2025-03-14,28.0,call,4256.0
INTC,2025-03-14,28.5,call,668.0
INTC,2025-03-14,29.0,call,2823.0
INTC,2025-03-14,29.5,call,465.0
INTC,2025-03-14,30.0,call,7397.0
INTC,2025-03-14,31.0,call,253.0
INTC,2025-03-14,32.0,call,406.0
INTC,2025-03-14,33.0,call,222.0
INTC,2025-03-14,34.0,call,636.0
INTC,2025-03-14,35.0,call,2011.0
INTC,2025-03-14,36.0,call,14.0
INTC,2025-03-14,37.0,call,4.0
INTC,2025-03-14,38.0,call,30.0
INTC,2025-03-14,39.0,call,261.0
INTC,2025-03-14,12.5,put,59.0
INTC,2025-03-14,14.0,put,4.0
INTC,2025-03-14,15.0,put,1848.0
INTC,2025-03-14,15.5,put,365.0
INTC,2025-03-14,16.0,put,7962.0
INTC,2025-03-14,16.5,put,1927.0
INTC,2025-03-14,17.0,put,2647.0
INTC,2025-03-14,17.5,put,1630.0
INTC,2025-03-14,18.0,put,4492.0
INTC,2025-03-14,18.5,put,4080.0
INTC,2025-03-14,19.0,put,8472.0
INTC,2025-03-14,19.5,put,7278.0
INTC,2025-03-14,20.0,put,11201.0
INTC,2025-03-14,20.5,put,4542.0
INTC,2025-03-14,21.0,put,5071.0
INTC,2025-03-14,21.5,put,6187.0
INTC,2025-03-14,22.0,put,8706.0
INTC,2025-03-14,22.5,put,2044.0
INTC,2025-03-14,23.0,put,1631.0
INTC,2025-03-14,23.5,put,1118.0
INTC,2025-03-14,24.0,put,1359.0
INTC,2025-03-14,24.5,put,1329.0
INTC,2025-03-14,25.0,put,1319.0
INTC,2025-03-14,25.5,put,150.0
INTC,2025-03-14,26.0,put,155.0
INTC,2025-03-14,26.5,put,24.0
INTC,2025-03-14,27.0,put,268.0
INTC,2025-03-14,27.5,put,29.0
INTC,2025-03-14,28.0,put,140.0
INTC,2025-03-14,28.5,put,0.0
INTC,2025-03-14,29.0,put,37.0
INTC,2025-03-14,30.0,put,63.0
INTC,2025-03-14,31.0,put,5.0
INTC,2025-03-14,32.0,put,0.0
INTC,2025-03-14,33.0,put,0.0
INTC,2025-03-14,34.0,put,3.0
INTC,2025-03-14,35.0,put,1.0
INTC,2025-03-14,37.0,put,0.0
INTC,2025-03-14,39.0,put,0.0
INTC,2025-03-21,10.0,call,1432.0
